"Daily Weather Observations for Canberra, Australian Capital Territory for August 2017"
"Prepared at 13:01 UTC on Sunday 12 August 2018   IDCJDW2801.201708"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-08-1,-0.7,13.1,13.4,,,WNW,17,13:19,0.8,99,8,NNE,2,1026.4,12.3,53,,SSW,7,1024.4
,2017-08-2,-2.3,13.8,0,,,E,28,16:19,4.4,80,,SE,13,1027.3,13.2,39,,SE,11,1022.1
,2017-08-3,-1.7,12.4,0,,,ENE,41,11:28,4.6,86,7,ESE,11,1020.9,11.2,71,8,E,26,1012.5
,2017-08-4,4.6,9.5,17.8,,,WNW,50,14:53,6.8,94,8,NNW,24,1009.7,8.5,69,1,WNW,31,1009.2
,2017-08-5,5.0,10.8,1.4,,,NW,59,12:28,6.6,79,8,NW,30,1013.1,10.2,57,5,NW,33,1011.9
,2017-08-6,4.6,13.8,0,,,NW,67,18:18,8.6,65,,NW,26,1013.2,12.6,48,8,NNW,37,1008.5
,2017-08-7,4.6,10.0,3.0,,,NW,63,13:46,5.7,87,8,NNW,35,1008.9,5.5,88,8,NNW,28,1009.0
,2017-08-8,1.5,13.1,2.2,,,WNW,44,15:21,6.2,71,,NW,9,1019.1,11.1,48,,W,31,1018.5
,2017-08-9,3.5,16.1,0,,,N,33,02:39,8.9,72,,NW,20,1024.1,14.7,53,,N,22,1020.8
,2017-08-10,0.1,16.6,0,,,NNW,54,14:47,9.4,84,,W,4,1020.1,15.4,46,,NNW,35,1014.2
,2017-08-11,8.3,15.9,0,,,WNW,57,12:42,12.1,48,6,NW,20,1015.7,14.3,39,,WNW,31,1015.6
,2017-08-12,5.6,15.1,0,,,NW,56,12:44,11.0,53,,WNW,22,1019.6,13.7,54,,NW,33,1019.1
,2017-08-13,1.6,16.4,0,,,NW,37,00:03,6.2,90,6,SE,13,1024.7,15.6,43,,NW,24,1021.0
,2017-08-14,-0.4,19.2,0,,,NW,37,14:40,6.6,75,,ESE,2,1021.7,18.4,35,,W,28,1016.3
,2017-08-15,0.5,17.6,0,,,NNW,57,12:43,6.5,89,8,SSW,7,1015.1,16.0,63,8,NNW,20,1008.7
,2017-08-16,6.4,13.9,5.2,,,WNW,59,12:51,10.0,88,8,WNW,17,1001.4,11.7,49,1,WNW,33,1004.5
,2017-08-17,5.6,14.9,0,,,WNW,76,14:48,10.1,64,4,NW,33,1009.1,14.2,42,3,WNW,46,1005.3
,2017-08-18,3.8,9.7,3.6,,,W,65,11:16,6.6,70,,WNW,37,1008.8,7.9,64,,WNW,37,1009.4
,2017-08-19,-3.1,11.2,0,,,SSE,44,09:07,6.3,57,,SSW,9,1020.0,10.4,34,1,S,28,1020.6
,2017-08-20,-3.0,13.2,0.2,,,S,24,01:34,5.1,63,,SE,9,1025.9,12.8,34,,N,11,1021.5
,2017-08-21,1.6,13.1,0,,,NNW,35,13:57,5.5,87,8,SSW,7,1019.0,10.2,51,7,NW,24,1016.2
,2017-08-22,-2.7,16.5,0,,,NW,26,15:53,5.3,78,, ,Calm,1021.0,16.2,32,,N,11,1018.6
,2017-08-23,-3.2,16.3,0,,,NW,35,13:11,4.5,81,, ,Calm,1021.5,15.4,37,,WNW,20,1017.8
,2017-08-24,-2.6,14.0,0,,,SSW,30,11:21,3.9,81,8,ENE,2,1020.1,13.2,43,5,S,15,1018.5
,2017-08-25,-5.1,14.8,0,,,NE,24,15:09,5.8,73,, ,Calm,1027.4,14.0,28,,N,9,1024.4
,2017-08-26,-3.0,15.7,0,,,NW,35,15:24,3.6,95,8,NNW,7,1025.9,15.6,36,,NNW,22,1020.9
,2017-08-27,-2.7,10.7,0,,,S,48,13:40,5.8,67,4,SSW,9,1017.3,4.3,79,8,SSE,22,1016.8
,2017-08-28,-2.4,12.4,2.4,,,S,39,09:39,6.0,58,,S,30,1021.9,12.0,32,,SSW,15,1019.9
,2017-08-29,-2.1,13.0,0,,,WNW,37,12:13,5.4,66,,S,7,1023.8,12.4,40,1,NNW,20,1020.5
,2017-08-30,-5.3,15.0,0,,,NW,35,15:26,3.6,74,,NNW,6,1024.4,14.1,38,,WNW,15,1022.2
,2017-08-31,-1.2,13.8,0,,,S,39,09:43,6.1,58,,SE,17,1030.7,12.9,37,,SSW,20,1026.6