"Daily Weather Observations for Canberra, Australian Capital Territory for November 2017"
"Prepared at 13:01 UTC on Thursday  9 August 2018   IDCJDW2801.201711"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-11-1,4.8,21.4,0,,,SSE,46,23:27,11.3,50,,S,28,1014.2,19.5,33,3,S,24,1010.4
,2017-11-2,5.8,23.1,0,,,NNW,37,13:50,13.8,51,,SE,13,1013.6,20.5,41,8,NNW,17,1010.5
,2017-11-3,4.3,19.7,0,,,W,59,11:24,14.6,66,3,NNW,9,1010.5,17.3,53,8,NNW,30,1011.2
,2017-11-4,9.5,21.3,0,,,E,48,17:48,14.5,62,,NNE,20,1016.6,19.6,26,,NW,24,1014.6
,2017-11-5,8.3,19.4,0,,,NE,48,16:35,12.9,59,8,ENE,11,1021.3,17.9,45,3,NE,26,1018.0
,2017-11-6,10.4,14.6,20.8,,,S,48,15:55,11.1,99,8,S,15,1007.8,12.2,86,8,W,20,1005.5
,2017-11-7,2.5,19.3,18.6,,,SSW,35,07:24,11.6,56,,S,28,1015.8,18.9,37,7,SSW,11,1014.9
,2017-11-8,7.0,20.7,0,,,SE,31,04:23,10.9,49,,S,15,1025.3,18.9,33,,E,15,1023.2
,2017-11-9,3.1,25.5,0,,,,,,13.8,64,,SE,6,1026.9,24.2,29,1,NW,15,1023.2
,2017-11-10,4.5,25.6,0.2,,,ENE,43,17:52,16.2,39,,SW,6,1028.0,25.2,26,2,NNW,11,1023.7
,2017-11-11,11.1,24.1,0.2,,,SSW,43,14:01,15.5,70,1,NNW,4,1027.3,20.6,49,8,SSW,20,1022.8
,2017-11-12,13.0,23.5,0.2,,,ENE,35,19:20,15.5,65,8,NE,15,1025.1,22.1,42,8,NNE,13,1021.1
,2017-11-13,11.6,22.8,0,,,E,33,17:23,14.6,64,8,ENE,11,1023.8,20.1,52,8,W,19,1020.6
,2017-11-14,7.1,25.7,0,,,ENE,41,18:17,14.3,64,5,ENE,11,1022.9,24.8,39,2,NNE,13,1017.5
,2017-11-15,8.2,28.2,0,,,NW,33,13:37,17.1,62,,SW,4,1019.0,26.8,26,,NNW,17,1013.9
,2017-11-16,11.0,20.1,0,,,W,24,09:58,18.9,63,6, ,Calm,1014.6,18.5,72,8,WNW,11,1014.1
,2017-11-17,12.9,24.3,2.4,,,E,46,17:20,18.8,73,8,ENE,15,1017.0,20.2,65,8,NE,11,1015.1
,2017-11-18,14.5,19.0,1.8,,,E,50,17:38,16.1,78,8,E,17,1019.3,18.1,70,8,E,28,1019.2
,2017-11-19,12.5,24.4,0.4,,,ENE,39,16:57,17.7,51,,E,22,1023.2,22.2,44,4,ENE,24,1022.0
,2017-11-20,8.4,25.5,0,,,ENE,35,16:26,16.8,60,6,SE,13,1025.9,24.2,35,,E,13,1022.9
,2017-11-21,7.4,26.1,0,,,NNE,39,10:45,15.9,59,,S,9,1024.4,24.8,27,,ENE,19,1020.7
,2017-11-22,9.1,27.2,0,,,ENE,39,18:05,16.1,65,1,SW,6,1021.2,25.4,30,,NW,13,1016.0
,2017-11-23,12.2,27.0,0,,,NNW,41,11:33,18.1,63,,NNE,7,1017.0,21.1,47,6,SW,26,1013.7
,2017-11-24,8.9,29.8,0.8,,,SSE,70,13:52,17.5,66,5,WSW,4,1017.4,22.2,47,8,SE,24,1014.6
,2017-11-25,10.9,31.0,1.4,,,SSE,54,17:26,20.5,57,,WSW,6,1018.7,28.9,21,1,ENE,13,1014.3
,2017-11-26,11.4,25.9,0.2,,,WNW,26,13:52,19.6,63,,SSE,13,1016.8,20.9,63,8,SW,15,1015.0
,2017-11-27,16.1,26.6,7.6,,,ESE,57,18:07,19.5,79,8,SE,6,1015.0,23.3,53,1,WNW,9,1014.7
,2017-11-28,11.5,28.4,15.6,,,E,37,15:26,16.8,86,8,SSE,11,1020.7,26.9,37,3,ESE,17,1017.5
,2017-11-29,16.4,29.1,0.2,,,E,37,17:48,20.3,63,8,SSW,9,1021.0,27.7,31,,SSE,11,1017.3
,2017-11-30,12.8,30.6,0,,,ENE,37,19:27,19.9,67,,SW,6,1018.3,28.5,31,1,N,19,1013.8