"Daily Weather Observations for Canberra, Australian Capital Territory for September 2017"
"Prepared at 13:01 UTC on Saturday 11 August 2018   IDCJDW2801.201709"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-09-1,-4.7,15.0,0,,,NW,28,13:40,4.7,71,,SSE,6,1027.7,14.2,36,,NW,13,1021.5
,2017-09-2,-3.9,18.0,0,,,NW,39,15:59,5.1,76,, ,Calm,1022.4,17.7,34,3,NW,19,1018.7
,2017-09-3,1.0,23.5,0,,,NW,69,12:59,8.7,76,8,N,9,1012.4,21.7,26,4,NNW,33,1003.7
,2017-09-4,5.5,12.8,0,,,NW,72,13:49,10.5,55,,NW,33,1009.0,7.6,76,7,W,26,1007.4
,2017-09-5,2.4,9.6,1.6,,,NW,65,11:09,5.6,73,8,WNW,37,1010.3,7.6,62,8,NW,43,1009.6
,2017-09-6,3.4,10.0,2.8,,,WNW,44,04:34,7.1,64,1,NW,30,1014.0,8.8,61,8,NW,24,1014.8
,2017-09-7,4.8,13.0,0.6,,,W,46,15:17,9.6,67,8,WNW,20,1019.1,11.1,50,1,WNW,33,1017.4
,2017-09-8,5.3,13.8,0,,,WNW,44,11:54,9.6,61,8,WNW,22,1017.9,12.5,39,,WNW,35,1016.7
,2017-09-9,0.6,14.7,0,,,NW,33,15:56,8.3,57,,NNW,7,1022.3,12.6,49,7,NW,19,1020.8
,2017-09-10,-3.2,16.9,0,,,NNW,30,15:32,7.2,72,,NNW,6,1023.6,15.9,35,,NNW,20,1019.9
,2017-09-11,-2.4,19.9,0,,,WNW,35,13:44,7.3,71,,SW,6,1020.6,18.4,40,4,NNW,19,1016.8
,2017-09-12,3.6,23.8,0,,,NW,57,11:45,13.4,56,2,NE,6,1016.6,22.9,27,,WNW,37,1011.3
,2017-09-13,8.4,22.5,0,,,NW,59,13:05,18.1,30,1,NNW,33,1006.6,15.8,48,6,WNW,28,1006.5
,2017-09-14,4.4,12.4,0,,,WNW,56,21:58,7.2,55,1,WNW,28,1012.1,10.5,43,6,WNW,33,1013.3
,2017-09-15,7.0,13.6,0,,,WNW,52,13:56,11.0,70,8,NW,31,1019.6,11.5,60,8,WNW,31,1019.4
,2017-09-16,8.0,14.9,0.4,,,WNW,57,12:32,10.5,70,4,WNW,33,1017.0,13.0,42,4,WNW,33,1018.0
,2017-09-17,-6.1,16.7,0.4,,,NW,28,14:08,6.5,59,,SSE,4,1027.9,15.6,21,,NNW,17,1023.7
,2017-09-18,-5.6,20.1,0,,,NW,54,11:46,7.2,56,,W,6,1023.6,19.5,27,,NW,30,1017.9
,2017-09-19,2.8,14.9,0,,,WNW,54,13:18,10.9,50,1,WNW,28,1016.7,13.9,37,,WNW,33,1016.7
,2017-09-20,-4.1,18.2,0,,,N,33,15:28,6.7,60,,NNW,6,1021.8,17.6,34,,NNW,17,1016.9
,2017-09-21,-1.1,22.6,0,,,NNW,41,14:49,10.2,64,,WNW,6,1018.1,21.2,24,,NNW,30,1013.8
,2017-09-22,1.1,25.2,0,,,NNW,41,12:21,13.1,54,1,S,6,1015.9,24.8,16,,NW,24,1012.1
,2017-09-23,1.3,30.2,0,,,NNW,61,12:15,17.3,36,,NNW,9,1010.2,29.8,14,,NNW,39,1001.7
,2017-09-24,12.7,21.4,0,,,WNW,80,14:35,14.6,54,8,NW,33,1007.1,19.6,27,1,WNW,39,1002.9
,2017-09-25,8.1,17.5,0,,,WNW,50,14:27,13.9,47,1,NW,24,1008.8,15.5,41,,WNW,35,1008.9
,2017-09-26,4.2,19.4,0,,,NNW,35,15:14,12.8,33,,W,13,1016.7,19.1,26,,NNW,22,1014.8
,2017-09-27,1.4,24.3,0,,,NNW,63,22:52,10.6,71,,E,7,1015.9,23.0,25,7,NW,13,1008.1
,2017-09-28,10.4,20.3,7.6,,,NNW,61,00:41,17.2,49,2,WNW,24,1008.3,18.5,42,1,W,28,1008.8
,2017-09-29,7.1,19.5,0,,,WNW,54,15:01,14.8,44,,WNW,22,1016.1,17.7,32,2,WNW,33,1012.9
,2017-09-30,10.0,17.9,0,,,WNW,72,10:54,13.2,43,,W,37,1015.5,16.7,26,,W,24,1016.3