Task1,Task 2a,Task2b,Task3b,Task4
0.967213115,0.891566265,0.87,0.691729323,0.897204301
0.926229508,0.86746988,0.74,0.69924812,0.892903226
0.942622951,0.873493976,0.73,0.736842105,0.898924731
0.959016393,0.84939759,0.87,0.714285714,0.895483871
0.959016393,0.897590361,0.81,0.691729323,0.894193548
0.967213115,0.861445783,0.81,0.654135338,0.900645161
0.901639344,0.843373494,0.74,0.669172932,0.907956989
0.967213115,0.855421687,0.84,0.631578947,0.909677419
0.959016393,0.891566265,0.83,0.69924812,0.909247312
0.959016393,0.891566265,0.78,0.736842105,0.898064516
0.950819672,0.891566265,0.74,0.609022556,0.904516129
0.959016393,0.903614458,0.76,0.62406015,0.892903226
0.918032787,0.84939759,0.8,0.631578947,0.904516129
0.893442623,0.789156627,0.8,0.669172932,0.897204301
0.926229508,0.909638554,0.86,0.639097744,0.905376344
0.942622951,0.891566265,0.82,0.714285714,0.894193548
0.950819672,0.86746988,0.8,0.714285714,0.902365591
0.950819672,0.837349398,0.84,0.639097744,0.873548387
0.868852459,0.885542169,0.83,0.654135338,0.876989247
0.942622951,0.813253012,0.81,0.669172932,0.900645161
0.942622951,0.765060241,0.69,0.729323308,0.906236559
0.967213115,0.915662651,0.82,0.676691729,0.904086022
0.959016393,0.795180723,0.82,0.729323308,0.901505376
0.983606557,0.903614458,0.84,0.69924812,0.919569892
0.93442623,0.879518072,0.77,0.616541353,0.902365591
0.991803279,0.843373494,0.78,0.714285714,0.912258065
0.967213115,0.771084337,0.8,0.721804511,0.884731183
0.885245902,0.86746988,0.86,0.669172932,0.899354839
0.959016393,0.873493976,0.88,0.721804511,0.902795699
0.926229508,0.843373494,0.79,0.676691729,0.896774194
0.959016393,0.837349398,0.87,0.676691729,0.896344086
0.959016393,0.891566265,0.83,0.691729323,0.905806452
0.93442623,0.746987952,0.88,0.721804511,0.887741935
0.967213115,0.873493976,0.84,0.669172932,0.895053763
0.942622951,0.86746988,0.76,0.706766917,0.909677419
0.950819672,0.86746988,0.77,0.62406015,0.88688172
0.942622951,0.777108434,0.74,0.744360902,0.901075269
0.868852459,0.891566265,0.78,0.714285714,0.894193548
0.991803279,0.795180723,0.81,0.721804511,0.901935484
0.926229508,0.885542169,0.71,0.669172932,0.894623656
0.868852459,0.861445783,0.89,0.616541353,0.892043011
0.967213115,0.897590361,0.79,0.676691729,0.894623656
0.975409836,0.879518072,0.83,0.714285714,0.907526882
0.975409836,0.807228916,0.87,0.706766917,0.898064516
0.967213115,0.837349398,0.84,0.654135338,0.907956989
0.819672131,0.885542169,0.84,0.669172932,0.907526882
0.967213115,0.885542169,0.79,0.616541353,0.893333333
0.926229508,0.885542169,0.82,0.669172932,0.900645161
0.942622951,0.909638554,0.76,0.669172932,0.892903226
0.909836066,0.855421687,0.69,0.62406015,0.892903226
0.959016393,0.86746988,0.74,0.646616541,0.901505376
0.942622951,0.819277108,0.85,0.751879699,0.905376344
0.942622951,0.843373494,0.79,0.646616541,0.905806452
0.942622951,0.86746988,0.84,0.676691729,0.911397849
0.950819672,0.819277108,0.81,0.661654135,0.911397849
0.967213115,0.879518072,0.76,0.669172932,0.904086022
0.909836066,0.909638554,0.8,0.77443609,0.878709677
0.950819672,0.891566265,0.87,0.684210526,0.886451613
0.967213115,0.903614458,0.78,0.744360902,0.906666667
0.860655738,0.855421687,0.81,0.639097744,0.888602151
0.950819672,0.921686747,0.84,0.721804511,0.891182796
0.967213115,0.861445783,0.84,0.676691729,0.88688172
0.959016393,0.78313253,0.84,0.69924812,0.870967742
0.967213115,0.897590361,0.85,0.736842105,0.908387097
0.926229508,0.891566265,0.8,0.714285714,0.899354839
0.959016393,0.879518072,0.85,0.661654135,0.895913978
0.950819672,0.84939759,0.81,0.714285714,0.906666667
0.959016393,0.891566265,0.78,0.706766917,0.885591398
0.983606557,0.843373494,0.79,0.744360902,0.904516129
0.959016393,0.909638554,0.79,0.631578947,0.908817204
0.942622951,0.837349398,0.78,0.721804511,0.912258065
0.959016393,0.855421687,0.8,0.654135338,0.898494624
0.975409836,0.86746988,0.81,0.714285714,0.88688172
0.967213115,0.855421687,0.81,0.669172932,0.905376344
0.950819672,0.861445783,0.77,0.766917293,0.910107527
0.967213115,0.909638554,0.78,0.654135338,0.912258065
0.959016393,0.93373494,0.73,0.69924812,0.911397849
0.959016393,0.861445783,0.78,0.69924812,0.903655914
0.983606557,0.885542169,0.76,0.631578947,0.907526882
0.950819672,0.86746988,0.71,0.691729323,0.893333333
0.926229508,0.885542169,0.72,0.744360902,0.891182796
0.93442623,0.86746988,0.81,0.639097744,0.898494624
0.926229508,0.897590361,0.79,0.684210526,0.898494624
0.93442623,0.84939759,0.81,0.684210526,0.901505376
0.942622951,0.807228916,0.76,0.631578947,0.905376344
0.93442623,0.897590361,0.83,0.676691729,0.902365591
0.926229508,0.861445783,0.83,0.62406015,0.903655914
0.93442623,0.879518072,0.78,0.796992481,0.905806452
0.950819672,0.789156627,0.85,0.601503759,0.919139785
0.967213115,0.873493976,0.85,0.759398496,0.892903226
0.901639344,0.722891566,0.86,0.69924812,0.901935484
0.942622951,0.789156627,0.76,0.729323308,0.891182796
0.926229508,0.891566265,0.73,0.609022556,0.903225806
0.909836066,0.86746988,0.78,0.714285714,0.915698925
0.950819672,0.891566265,0.75,0.654135338,0.896344086
0.983606557,0.885542169,0.83,0.714285714,0.898064516
0.983606557,0.86746988,0.82,0.691729323,0.912258065
0.942622951,0.84939759,0.81,0.751879699,0.920430108
0.942622951,0.897590361,0.76,0.669172932,0.915268817
0.950819672,0.837349398,0.75,0.684210526,0.912258065
